,run,epoch,train_loss,dev_loss,test_loss,intent_acc_dev,intent_acc_test,intent_acc_train,f1_train,f1_dev,f1_test
0,0,5,2.6946,2.6706,3.0201,0.7369,0.7077,0.7371,0.1461,0.1388,0.1148
0,0,10,2.02,1.9302,2.3614,0.7791,0.7581,0.7717,0.4547,0.4488,0.3207
0,0,15,1.4171,1.3256,1.781,0.8655,0.8052,0.8629,0.6404,0.6359,0.5796
0,0,20,1.0186,0.9497,1.3881,0.9076,0.8443,0.9047,0.7601,0.7654,0.7193
0,0,25,0.7784,0.7368,1.1549,0.9217,0.8567,0.9272,0.8128,0.8072,0.7751
0,0,30,0.6228,0.5959,0.9984,0.9337,0.8791,0.9417,0.8414,0.8393,0.7996
0,0,35,0.5087,0.499,0.8881,0.9418,0.8813,0.9502,0.8627,0.8568,0.8171
0,0,40,0.4256,0.4235,0.7963,0.9498,0.8847,0.9634,0.8824,0.8686,0.8319
0,0,45,0.3551,0.3682,0.722,0.9558,0.8947,0.9723,0.9001,0.8768,0.8467
0,0,50,0.3035,0.3222,0.6611,0.9639,0.9071,0.9797,0.912,0.8933,0.8574
0,0,55,0.258,0.2861,0.6169,0.9659,0.9227,0.9866,0.9242,0.907,0.867
0,0,60,0.2229,0.259,0.5719,0.9719,0.9362,0.9893,0.9346,0.9246,0.875
0,0,65,0.1926,0.2367,0.5394,0.9739,0.9373,0.9906,0.9458,0.9338,0.8865
0,0,70,0.1703,0.2176,0.513,0.9799,0.9395,0.9917,0.9539,0.9444,0.8961
0,0,75,0.1488,0.2035,0.496,0.9799,0.9429,0.9935,0.9596,0.9509,0.906
0,0,80,0.1309,0.1923,0.4721,0.9759,0.9451,0.9942,0.9653,0.9544,0.9121
0,0,85,0.1144,0.1827,0.4587,0.9739,0.9451,0.9949,0.9703,0.9582,0.9185
0,0,90,0.1022,0.1722,0.4507,0.9739,0.944,0.9958,0.9759,0.9629,0.9229
0,0,95,0.0899,0.1648,0.4364,0.9739,0.9485,0.9975,0.9784,0.9636,0.9258
0,0,100,0.0794,0.1595,0.431,0.9759,0.9485,0.9975,0.9807,0.9636,0.926
0,0,105,0.0706,0.1565,0.4287,0.9759,0.9462,0.998,0.9827,0.9642,0.9292
0,0,110,0.0632,0.1532,0.4228,0.9739,0.9474,0.9982,0.9851,0.9651,0.9316
0,0,115,0.0579,0.148,0.42,0.9759,0.9451,0.9989,0.9867,0.9657,0.9327
0,0,120,0.0503,0.1467,0.4253,0.9779,0.9451,0.9993,0.988,0.9669,0.9347
0,0,125,0.0462,0.148,0.4277,0.9799,0.944,0.9993,0.9892,0.9675,0.9365
0,0,130,0.0413,0.1471,0.4235,0.9779,0.9451,0.9996,0.9901,0.9672,0.937
0,0,135,0.0374,0.1399,0.4074,0.9759,0.9518,0.9996,0.992,0.9704,0.9382
0,0,140,0.0337,0.1391,0.4205,0.9779,0.9462,0.9996,0.9934,0.9701,0.9389
0,1,5,2.6975,2.6654,3.0142,0.7369,0.7077,0.7364,0.1116,0.1111,0.1068
0,1,10,2.0169,1.9196,2.3446,0.7711,0.7436,0.7719,0.4554,0.4518,0.3198
0,1,15,1.4332,1.3373,1.7882,0.8715,0.8186,0.8679,0.6373,0.644,0.5514
0,1,20,1.0387,0.9711,1.4098,0.9036,0.8455,0.9031,0.752,0.7583,0.7029
0,1,25,0.7929,0.7481,1.1641,0.9237,0.8555,0.931,0.814,0.8107,0.7832
0,1,30,0.6284,0.6041,1.0022,0.9317,0.8757,0.9426,0.8431,0.8396,0.801
0,1,35,0.5138,0.5011,0.8867,0.9398,0.8813,0.9531,0.8652,0.8608,0.8241
0,1,40,0.4243,0.4243,0.7893,0.9458,0.8824,0.9625,0.8847,0.8778,0.842
0,1,45,0.3556,0.3674,0.7255,0.9578,0.8903,0.9717,0.8995,0.8862,0.8581
0,1,50,0.3051,0.3238,0.6589,0.9598,0.8959,0.9792,0.9124,0.9031,0.8688
0,1,55,0.2589,0.2905,0.6143,0.9618,0.9082,0.9839,0.9257,0.9158,0.8785
0,1,60,0.2226,0.2647,0.5708,0.9659,0.9183,0.9868,0.9365,0.9253,0.89
0,1,65,0.1929,0.2426,0.5449,0.9659,0.9205,0.9895,0.9464,0.9342,0.8954
0,1,70,0.1676,0.2224,0.5086,0.9679,0.9272,0.9911,0.957,0.939,0.9041
0,1,75,0.1459,0.2084,0.4923,0.9679,0.9295,0.9922,0.9635,0.9484,0.909
0,1,80,0.1303,0.1942,0.4627,0.9699,0.9339,0.9929,0.9688,0.9532,0.9125
0,1,85,0.1146,0.1849,0.4505,0.9719,0.9373,0.9946,0.9729,0.9559,0.918
0,1,90,0.1013,0.1768,0.4282,0.9719,0.9384,0.9955,0.9759,0.9594,0.9205
0,1,95,0.0917,0.1707,0.4215,0.9719,0.9384,0.996,0.979,0.9606,0.9245
0,1,100,0.0816,0.1659,0.4186,0.9719,0.9362,0.9969,0.9815,0.9639,0.9291
0,1,105,0.0724,0.1631,0.4077,0.9719,0.9362,0.9973,0.9831,0.9639,0.9309
0,1,110,0.0646,0.1568,0.4127,0.9719,0.9373,0.9975,0.985,0.9663,0.9341
0,1,115,0.0587,0.1525,0.4086,0.9719,0.9406,0.9982,0.9866,0.9671,0.9344
0,1,120,0.0518,0.1521,0.4006,0.9719,0.9418,0.9987,0.9877,0.9675,0.9358
0,1,125,0.0471,0.1496,0.392,0.9759,0.9462,0.9993,0.9903,0.9686,0.9364
0,1,130,0.042,0.148,0.394,0.9759,0.9474,0.9996,0.9914,0.9695,0.9386
0,1,135,0.0381,0.1431,0.396,0.9759,0.9474,0.9996,0.9921,0.9707,0.9387
0,1,140,0.0339,0.1427,0.3842,0.9759,0.9507,0.9996,0.9933,0.9719,0.939
0,1,145,0.0307,0.1439,0.3902,0.9759,0.9496,0.9996,0.9949,0.9728,0.9394
0,1,150,0.0288,0.1387,0.3857,0.9779,0.9507,0.9998,0.9959,0.9725,0.9408
0,1,155,0.0247,0.1415,0.3942,0.9779,0.9485,0.9998,0.9959,0.9733,0.9408
0,1,160,0.0226,0.1379,0.3902,0.9799,0.9507,0.9998,0.9966,0.9719,0.9405
0,2,5,2.6995,2.6625,3.0167,0.7369,0.7077,0.7364,0.122,0.1159,0.1076
0,2,10,2.0181,1.9101,2.3268,0.7731,0.7413,0.7656,0.4494,0.444,0.2987
0,2,15,1.3937,1.2838,1.7324,0.8835,0.8085,0.869,0.6517,0.6582,0.5792
0,2,20,1.0022,0.9345,1.3623,0.9157,0.8499,0.9078,0.7561,0.768,0.7251
0,2,25,0.7659,0.7272,1.1317,0.9297,0.8567,0.933,0.8053,0.8057,0.7728
0,2,30,0.6158,0.5867,0.9766,0.9418,0.8757,0.9453,0.8377,0.8363,0.7997
0,2,35,0.5006,0.4826,0.8579,0.9478,0.8779,0.9554,0.8638,0.8582,0.8237
0,2,40,0.4147,0.4072,0.7734,0.9538,0.8813,0.965,0.8808,0.8714,0.8362
0,2,45,0.3479,0.352,0.7092,0.9558,0.8947,0.9746,0.8964,0.8813,0.8513
0,2,50,0.2918,0.3051,0.6466,0.9618,0.9104,0.981,0.9099,0.8925,0.8656
0,2,55,0.2479,0.2678,0.5962,0.9679,0.9138,0.9873,0.925,0.9094,0.8737
0,2,60,0.2132,0.2386,0.5561,0.9679,0.9261,0.9886,0.9358,0.9233,0.8871
0,2,65,0.1845,0.2182,0.5229,0.9679,0.9362,0.9915,0.9446,0.9316,0.8942
0,2,70,0.1614,0.1989,0.4931,0.9679,0.9351,0.9935,0.9544,0.9426,0.9035
0,2,75,0.1397,0.1823,0.4708,0.9699,0.9384,0.9944,0.962,0.9485,0.9091
0,2,80,0.1242,0.1691,0.4531,0.9719,0.9373,0.9953,0.9684,0.9537,0.9145
0,2,85,0.1075,0.1607,0.4437,0.9759,0.9373,0.9955,0.9726,0.9587,0.9185
0,2,90,0.0961,0.1511,0.4281,0.9719,0.9406,0.9962,0.9748,0.9617,0.9216
0,2,95,0.0859,0.1445,0.4203,0.9739,0.9395,0.9967,0.9782,0.9623,0.9248
0,2,100,0.0768,0.1376,0.4161,0.9719,0.9384,0.9978,0.9809,0.9632,0.9276
0,2,105,0.0693,0.1335,0.4129,0.9779,0.9406,0.9984,0.9829,0.9636,0.9293
0,2,110,0.0601,0.1302,0.4092,0.9779,0.9395,0.9987,0.9849,0.9642,0.9302
