,run,epoch,train_loss,dev_loss,test_loss,f1_train,f1_dev,f1_test
0,0,1,0.3035,0.2606,0.3081,0.0,0.0,0.0
0,0,2,0.2447,0.2428,0.2924,0.0,0.0,0.0
0,0,3,0.1485,0.1215,0.1579,0.5896,0.5789,0.5085
0,0,4,0.1129,0.1185,0.1527,0.6127,0.5786,0.5193
0,0,5,0.1028,0.1188,0.153,0.6165,0.5826,0.5261
0,0,6,0.0958,0.1214,0.1429,0.6769,0.6387,0.5985
0,0,7,0.0904,0.116,0.1405,0.6973,0.6396,0.6092
0,0,8,0.0857,0.1215,0.1493,0.7174,0.6171,0.5972
0,0,9,0.0822,0.1249,0.1524,0.7408,0.6182,0.5772
0,0,10,0.0784,0.1287,0.1574,0.7482,0.5882,0.5886
